aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
leipälaji ,"erikoislaji, ala jonka hallitsee parhaiten  ",Jääkiekkohan se on kanadalaisten leipälaji. Toi matikka ei oikein oo mun leipälaji. ,sb's best event or field of expertise
leipäläpi ,suu  ,"Pidä ny toi leipäläpes kiinni! Leipäläpi umpeen! Johan meni leipälävet tukkoon. Jos ei kerran osaa aukasta leipäläpeensä ajoissa, ni ihan turha valittaajälkikäteen. Mitä säkin siinä tuijotat leipäläpi auki. ",mouth
leipäpappi ,"pappi, joka tekee työtään vain rahan takia  ",Taitaa olla sekin vaan pelkkä leipäpappi. Mä enjaksa kuunnella tommosia leipäpappeja. ,pastororministerwhois only in it for the money
leipääntyä ,"kyllästyä, saada tarpeekseen, leipiintyä  ","Tää on niin monipuolinen työ, että ei tähän leipäänny. Ei siel ollu muita töissä kujoku leipääntynyt virkailija. ","become fed up, have had enough"
leiska ,"layout, painotuotteen tai Internet-sivun ulkoasu  ",slg. Tällä sivulla on hyvä leiska. Mainostoimisto saa tehä meiän esitteeseen uuen leiskan. ,layout
leka 1 ,"moukari, iso vasara  ","Mitä pienempi vika, sitä isompi leka. Rautakanki ei menny maahan, vaikka kuinka lekalla lyötiin. ",sledgehammer
leka 2 ,"(viina)pullo, lesti  ",slg. Ville kävi hakemassa lekan kossua. Älä ny koko lekaa kerralla juo! ,bottle (of liquor)
lekkeripeli ,"huonosti hoidettu, pilattu asia, leikki, pelleily  ","Pannaan nyt vauhtia tai tää homma menee ihan lekkeripeliks. Jos ei tuu lisää rahaa, niin me pistetään työt lekkeripeliks. Nyt saa riittää tämmönen lekkeripeli. ","done badly, farce"
lekuri ,lääkäri  ,"Lekuri anto kaks päivää sairaslomaa. Mun piti jonottaa lekurille melkein tunti. Terveyskeskukseen ei meinaa saada lekureita millään, ",doctor
lempata ,"erottaa, hylätä, heittää ulos, antaa lemput  ","Sut lempataan vielä, jos sä meet kännissä töihin. Sit aamulla Ville vaan lemppas kylmästi sen muijan. Älä ala tappeleen tai tarjoilija lemppaa sut pihalle, ","dismiss, reject, fire, sack"
lempo ,lievä kirosana  ,"Voi lempo, mikä sitäjätkää vaivaa? Lempo soikoon! ",<mild curse word>
lemppari ,"suosikki, lempi-, mieli ","Mikä on sun lemppariväri? Tää piisi on mun lemppari. Se on tylsä deejii, ku se soittaa vaan omia lemppareita. ",favourite
lemput ,"potkut, erottaminen, hylkääminen, lemppaaminen  ",Ooksä saanu lemput töistä? Seija anto mulle lemput. ,"dismissal, rejection, ""the sack"""
lenkata ,"ontua, nilkuttaa, linkata, klenkata  ","Onkohan toi koira satuttanu tassunsa vai mitä se lenkkaa ? Mulla meni nilkka niin pahasti et piti lenkata terveyskeskukseen. Kuukauden se lenkkas kainalosauvojen kanssa, ",to limp
lenkkarit ,lenkkitossut  ,"Hyi hitto, noi sun lenkkarit haisee! Sinne ravintolaan ei pääse lenkkareissa sisälle. ","trainers, sneakers"
lenksu ,lenkki  ,"Pyyhkeestä meni lenksu poikki. Nää lenksut vedetään kenkien alle, niin ei nouse lahkeet ylös. Laatikossa oli klemmareita, kumilenksuja ja muuta roinaa, ","loop, strap, band"
"lennossa, lennosta ","heti, suoraan, suoralta kädeltä, vauhdissa, vauhdista  ","Yhtään ei ehitty harjotella, kaiken piti sujua heti lennossa. Vois sitä ny vähän odottaa, ettei vaihda poikaystävää ihan lennossa. Aina kaikki hyvät ideat tyrmätään jo lennosta. Ei tarvinnu tilata taksia, ku me saatiin se suoraan lennosta, ","right away, (catch) in flight, on the move"
lenssu ,"flunssa, nuhakuume, lentsu  ",Mä en oo tänä talvena ollu vielä kertaakaan lenssussa. ,"(the common) cold, flu"
lentis ,lentopallo  ,Me pelattiin koulussa lentistä. Suomi ei ikinä pärjää lentiksessä. ,volleyball
"lentsikka, lentskari ",lentokone  ,"Lentsikka oli pari tuntia myöhässä. Pikkujätkät ihaili lentsikoita. Kai me ny lentskarilla mennään, kufirma kerran maksaa. ",aeroplane
lentsu ,"flunssa, nuhakuume  ","Kauhee lentsu ollu jo viikon. Tosi harmi olla koko loma lentsussa, ","(the common) cold, flu"
lentävät ,"liikkuva poliisi, poliisin valtakunnallinen yksikkö, joka erityisesti valvoo liikennettä  ","Lentävät piti ratsiaa. Ei ne ollu paikallispoliisista, ne oli jotain lentäviä. ",mobile police (patrol)
lentää 1 ,"kaatua, mennä nurin  ","Toi piha pitäs hiekottaa ennenku joku lentää nurin. Mä lensin oikein komeesti selälleni, ","fall down, fall over"
lentää 2 ,"tulla ulos tai pois ajetuksi, lentää pellolle, pihalle  ","Nyt oot kunnolla tai sä lennät täältä! Me oltiin niin kännissä, et lennettiin heti ulos. ","be expelled, be turned out"
lentää kuin leppäkeihäs ,"lentää (1, 2) vauhdikkaasti, äkkiä ","Joku keppi meni etupyörän pinnojen väliin, ja mä lensin tangon yli ku leppäkeihäs. Ootas ku vartijat tulee, ni toi äijä lentää ulos kuin leppäkeihäs. ","fallveryfast,beviolently thrown"
"lentää pellolle, pihalle ",tulla ulos tai pois ajetuksi  ,"Jos se juippi kehtaa vielä tulla tänne, niin se lentää heti pellolle. No sen kaverin alamäki alko siitä, ku se lensi duunistapihalle, ","beexpelled,beturned out"
lentää perseelleen ,"kaatua; hämmästyä, yllättyä  ","vulg. Oli niin liukasta, et meinasin lentää perseelleen. Varo ettet lennä perseelles. Isä lensi perseelleen, kun se näki mun todistuksen, ",fall over; become surprised
lepso ,lesbo  ,"slg. Mitä te pussailette siinä, ootteks te jotain lepsoja vai? ",lesbian
lepsu ,"liian kiltti, saamaton; pehmeä, veltto, löysä  ","Siinon niin lepsut vanhemmat, et ei oo mikään ihme, et lapsi on tommonen kauhukakara. Eka erä oli meiltä tosi lepsu. Sitä asetta pitää puristaa kunnolla eikä tolleen lepsusti. ","undemanding, incapable; soft, loose"
lepsuilla ,"olla lepsu, tehdä jotakin pehmeästi, veltosti, löysästi  ","Et sä saa mitään kuria aikaseks, jos sä vaan myötäilet ja lepsuilet. Nykyään töissä on niin kova paine et ei auta lepsuilla yhtään. Hyökkäys toimi ihan hyvin, mut puolustuspäässä lepsuiltiin liikaa, ","to not demand; to be sloppy, do sth too softly"
lerppu ,"taipuisa 5 tuuman tietokonelevyke, disketti  ","slg. 'A Lerput oli käytössä kaheksankytluvulla. Lerppuja saatto väännellä miten vaan, ei ne menny ees rikki. ","5.25"" floppy disk"
lesbo 1 ,homoseksuaalinen nainen  ,"Mä vähän luulen, et se on lesbo. Siinä baarissa käy kaikki homot ja lesbot, ",lesbian
lesbo 2 ,haukkumasanana naisesta  ,"halv. Älä sä lesbo inise! Pidä tavaras, helkutin lesbo! ",<used to insult females>
lespata ,"sihauttaa .y-äännettä puheessa tai ääntää se muuten virheellisesti, sössöttää  ","Puhu kunnolla äläkä lespaa niinku oisit joku hesalainen. Mä en meinannu saada selvää, mitä se puhu, ku se lespas niin älyttömästi, ",to lisp
lesti ,"(viina)pullo, leka (2)  ","On mulla yks lesti pöytäviinaa. Järkkärit kokeili, ettei oo lestiä taskussa. ",bottle (of liquor)
letka,jono  ,"Oli kauhee ruuhka, letka ajo hitaasti ja aina välillä pysähty. Juoksijat meni ensimmäisen kierroksen yhessä letkassa. No sitä sanotaan letkajenkaks, ku sitä tanssitaan letkassa, ","queue, line"
letkis ,"letkajenkka, pitkässä jonossa tanssittava tanssi  ","Letkis oli kova sana joskus kuuskytluvulla. Mentiin letkistä oikein porukalla, ",a Finnish queue/line dance
letkuissa ,"letkuilla hoitolaitteisiin kytkettynä, tiputuksessa, hengityslaitteessa tms.  ","Mummo makaa sairaalassa letkuissa. Kun sais kuolla nopeesti eikä tarttis kitua vuosikaupalla letkuissa. Se oli aika paha kolari, yks kaveri joutu letkuihin. ","on a drip, on a respirator"
letti ,(pitkä) tukka  ,"Kyllä hevimiehellä pitää olla pitkä letti. Pesisit joskus ton lettis. Se muija perhana alko repiä mua letistä, ",(long) hair
Letukka ,Chevrolet-merkkinen auto  ,Viiskasi Letukka on hieno auto. Ajettiin pihaan komeesti Letukalla. ,Chevrolet
letukka 1 ,vanha amerikkalainen auto yleensä  ,"Joku amerikanauto se oli, semmonen iso letukka. ",classic American car
letukka 2 ,"(nuori, huonotapainen) nainen  ","halv. Se tyttö on kans oikee letukka. Tommosia letukoita kulkee kaupungilla napa paljaana, ",(badly behaving) girl or young woman
leuhka ,"ylpeä, ylimielinen, leveä ","Vitsit, ku toi Ville on leuhka. No ootpas sä nyt leuhka, ku sullon uus auto. Ei kai hesalaiset oo sen enempää leuhkoja ku muutkaan. ","boastful, haughty"
leuhkia ,"ylpeillä, kerskailla, leveillä  ","Aina se leuhkii niillä rahoillansa. Tommosissa jutuissa ei oo mitään leuhkimista, ","boast, brag"
levari 1 ,(vinyyli)levysoitin  ,"Osta tästä hyvä levari. Noihin vanhoihin levareihin voi olla vaikee löytää neuloja, ","phonograph, record player"
levari 2 ,tietokoneen levyasema  ,"slg. Villen pikkuveli vaihto uuen levarin. Täs levariss on joku vika, ku se ei lue diskettejä kunnolla. ",disk drive
levari 3 ,"koripallossa: levypallo, korilevystä tai -renkaasta takaisin kimmonnut pallo  ",slg. Ne levarit pitää saada kiinni! Se on niin lyhyt kaveri et se ei ulotu kunnolla levareihin. ,rebound (in basketball)
leveä ,"ylpeä, ylimielinen, leuhka  ","Toi Ville on vähän levee jätkä. Siilon aika leveet jutut, ","boastful, haughty"
levikset ,Levi' s®-merkkiset farkut  ,Niinalla osti uudet levikset. ,Levi's jeans
levitä ,"hajota, mennä rikki, prakata  ","Nää olis muuten hyvät farkut mut vetskari levis. Mä ostan uuden telkkarin vasta jos toi vanha joskus leviää. Nää vanhat huonekalut on hyviä, ei ne levii millään. ","break, wear out"
levitä käsiin ,"hajota, mennä rikki kesken kaiken, kokonaan; karata käsistä, hallinnasta  ","Ei tätä autoo kannata enää korjata, se leviää kuitenkin kohta käsiin. Se kassi oli niin mätä et se levis käsiin. Mä aattelin ensin juoda ihan vaan pari kaljaa, mut sit homma levis käsiin. Jos sä et pysty pitämään järjestystä siellä, se tilanne leviää käsiin, ","break, wear out; get out of control"
levoton ,"outo, kummallinen, mahdoton  ","Se on jotenkin levoton tyyppi. Aamuyöllä heitettiin jo aika levotonta juttua. Onks toi tyyppi jossain aineissa, ku se puhuu niin levottomia? ",weird
levyri ,"koripallossa: levypallo, levari (3)  ",slg. Toijenkki on hyvä levyreissä. ,rebound (in basketball)
levyttää ,"olla pitkällään, maata, nukkua  ","slg. Piru ku väsyttää, mä taidan mennä levyttämään. Kaveri levytti sohvalla kengät jalassa. Vessa auki, kuka siellä levyttää! ","lie on one's back, sleep"
levähtää ,"hajota, mennä rikki, levitä  ","Jääkaappi levähti ja kaikki ruuat meni pilalle, ","break, wear out"
levällään ,"epäjärjestyksessä, sekaisin, huonossa jamassa  ","Ei tartte olla ku viikko pois, ni täällä on heti kaikki levällään. Mun rahaasiat on menny jotenki ihan levälleen. ",in disorder; badly
liemessä ,"pulassa, pinteessä, kiikissä  ","Sä olet vissiin aika pahassa liemessä. Me joudutaan vielä liemeen sen pankkivelan kanssa. Muista sit, et tää oli viimenen kerta, ku mä pelastan sut liemestä, ",in trouble
liero ,"katala, kiero, kavala  ","Siihen lieroon ei voi luottaa yhtään. Noi kauppiaat on joskus kans yksiä lieroja, ","sly, infamous, crooked"
"liesussa, lietsussa ","menossa, liikkeellä  ","Taasko se Niina on jossain liesussa ? Kyllä mä nyt haluun liesuun, ku täällä kotona tulee hulluks. Sano että soittaa mulle, ku se tulee sieltä lietsusta. ","out, partying, on the go"
liftari ,peukalokyytiläinen  ,"Otetaan toi liftari kyytiin. Liftareita näkee nykyään aika vähän, ",hitch-hiker
liftata ,kulkea peukalokyydillä  ,"Kuin sä uskallat liftata yksin ? Inttiaikana mä liftasin aina kotiin, ",to hitch
lifti ,peukalokyyti  ,Niina sai heti liftin. Se pääsi yhellä liftillä kotiin asti. ,hitched ride
lihaksilla ,"epäillen tai ironisesti: (huonoilla, vaatimattomilla) voimilla, voimavaroilla; kyvyillä, edellytyksillä  ",Noil lihaksilla ei kannattas kyllä paljon aukoo päätään. Tuskin onnistuu sun lihaksillas. Mun lihaksilla ei kannata ees yrittää. Näillä lihaksilla Suomi ei ikinäpärjääjalkapallossa. ,"(weak) muscles, force; (weak) abilities"
lihis ,lihapiirakka  ,Lihis kahelia nakilla ja kaikki mausteet. Mä otan lihiksen. Mentiin valomerkin jälkeen vielä syömään lihikset. ,meat pasty
liian kanssa ,liikaa  ,"Ensin ei satanu kuukauteen, ja sit vettä tuli liiankin kanssa. No siel sitä porukkaa olijo liian kanssa, ",too much
liika ,liian  ,"Emmä osta sitä, se on liika kallis. Parempi liikaa ku liika vähän, ","too, over-"
liikauttaa eväänsä ,"tehdä tuskin mitään, hievahtaa  ","Siellä se vaan makaa ja hyvä kun eväänsä liikauttaa. Niina ei liikauttanu eväänsäkään, vaikka kaikki muut lähti tanssimaan. Tuskin poliisit tommosen takia eväänsä liikauttaa. ",hardly make a move
liikenteessä ,"liikkeellä, pois kotoa, kaupungilla  ","Tiedäks sä, onks Niina tänään liikenteessä? Eiköhän lähetä jo liikenteeseen, ","out, partying, on the go"
liikettä (niveliin) ,"kehotuksena: nyt vauhtia, toimeksi; alkaa liikkua, toimia, mennä nopeasti  ","Liikettä, liikettä! Mitä sä siinä seisot, nyt liikettä niveliin! Mä karjasin kerran, ni johan tuli liikettä. Jonkun pitäs panna tolle laiskurille vähän liikettä niveliin. ","""Get a move on!"""
liikka ,liikunta kouluaineena  ,Liikkatunniton kivoja. Meillon tänään liikkaa. ,Physical Education
liikkis ,"liikuttava, hellyttävä  ","Toi sun koiras on tosi liikkis. Onhan se liikkistä, ku noi lapset on niin tosissaan, ","moving, touching"
"liikutetussa, liikuttuneessa tilassa ","humalassa, juovuksissa (alun perin kiertoilmaus)  ","Johtajaa ei näkyny tänään, ku tais olla vähän liikutetussa tilassa. Loppuillasta oltiin sen verran liikuttuneesa tilassa, et nää kuvatkin on aika epätarkkoja, ",drunk
liikuttunut ,"humalassa, juovuksissa (alun perin kiertoilmaus)  ","Herra taisi olla hieman liikuttunut, ku se salkkukin unohtu sinne ravintolaan. ",drunk
"liimaletti, liimanhaistaja ","pitkätukka, hippi, hämy  ",halv. Mee liimaletti parturiin! Ei tommosta liimanhaistajaa kukaan töihin ota. ,long-haired; hippie; freak
liipata 1 ,"hioa, tehdä sileäksi  ","Pane siihen vähän pakkelia, sit liippaat ja maali päälle. Tämmösiä halpoja veitsiä ei paljon kannata liipata. ","to grind, smooth"
liipata 2 ,"mennä läheltä, hipaista, koskettaa; koskea jotakuta  ","Liippas se auto sen verran siihen kiveen, et oveen tuli naarmu. Tää asia kyllä liippaa vähän suakin. ",(be) a close shave; touch
"liipata liki, likeltä, läheltä ","olla täpärällä, vähällä, läheltä piti  ","Se liippas kyllä liki. Tänään liippas likeltä, ettei menny hermot. Läheltä liippas, et olis se hirvi tullu suoraan alle. Viime arvonnassa liippas tosi läheltä, ",(be) a close shave or a near miss
liippa ,"hiomakivi, kovasin  ",Vedät vaan tost pari kertaa liipan kanssa. ,grindstone; whetstone
liirata ,"luistaa, liukua, luisua (sivuttain)  ","Auto lähti liiraamaan. Oli niin liukas keli, et perä liiras heti ku vähänkin jarrutti, ","to skid, slide"
liirumlaarum ,"joutava, tyhjänpäiväinen asia, höpötys ","Ei näissä papereissa oo mitään asiaa, kuhan pelkkää liirumlaarumia. Menee hermot tommosen liirumlaarumin kanssa, ",nonsense
liisata ,"vuokrata auto, laite tms. pitkäksi ajaksi  ","No jos sä liisaat jonku vehkeen, niin sä saat käyttää sitä vapaasti mut sä et omista sitä. Firma liisas mulle auton, ",to lease
liisaus ,"auton, laitteen tms. vuokraaminen pitkäksi ajaksi, leasing  ",Ohan se liisaus tietysti pitemmän päälle kalliimpi kujos ostais oman. ,leasing
liisterissä ,"pulassa, pinteessä, liemessä  ","Jos mä en saa mistään rahaa, niin mä oon kyllä liisterissä. ",in trouble
likka ,tyttö  ,Kuinkas vanha se teidän likka jo on ? Me ei kyllä oteta likkoja mukaan! ,girl
liksa ,palkka  ,Kyl näin rankasta työstä pitäs saada enemmän liksaa. Lääkäreillä on hyvät liksat. ,"salary, wages"
iillinki ,epämääräinen neste tai tahnamainen aine  ,Minähän en tommosta lillinkiä juo. Piha meni sateessa ihan lillingiksi. ,"liquid, pastelike substance"
lillua ,"kellua, uiskennella, ajelehtia  ","Ei tos lammessa voi ees uida, ku siel lilluu kaiken maailman rojua. Se pihvi oikein lillu semmosessa ruskeessa kastikkeessa, ",float (in liquid)
